"links","account","accountingbook","accounttype","amount","amountlinked","credit","exchangerate","lastmodifieddate","netamount","posting","transaction","transactionline","debit","processedbyrevcommit"
"[]","118","1","NonPosting","-6.4568777382E8","0","6.4568777382E8","4239.33","21/02/2025","-6.4568777382E8","F","598170","0","nan","nan"
"[]","2283","1","OthCurrAsset","6.4568777382E8","0","nan","4239.33","21/02/2025","6.4568777382E8","F","598170","1","6.4568777382E8","nan"
"[]","779","1","OthCurrLiab","0","0","nan","4239.33","21/02/2025","0","F","598170","13","nan","nan"
"[]","119","1","NonPosting","0","0","nan","1","07/01/2025","0","F","597506","0","nan","F"
"[]","954","1","Income","0","0","nan","1","07/01/2025","0","F","597506","1","nan","nan"
"[]","954","1","Income","0","0","nan","1","07/01/2025","0","F","597506","2","nan","nan"
"[]","792","1","OthCurrLiab","0","0","nan","1","07/01/2025","0","F","597506","24","nan","nan"
"[]","712","1","OthCurrLiab","0","0","nan","1","07/01/2025","0","F","597506","25","nan","nan"
"[]","710","1","OthCurrLiab","0","0","nan","1","07/01/2025","0","F","597506","26","nan","nan"
"[]","119","1","NonPosting","1.3651913588E8","0","nan","1","22/01/2025","1.3651913588E8","F","598341","0","1.3651913588E8","F"
"[]","954","1","Income","-1.118550888E8","0","1.118550888E8","1","22/01/2025","-1.118550888E8","F","598341","1","nan","nan"
"[]","nan","1","nan","nan","0","nan","1","22/01/2025","nan","F","598341","11","nan","nan"
"[]","792","1","OthCurrLiab","-2.125246687E7","0","2.125246687E7","1","22/01/2025","-2.125246687E7","F","598341","2847","nan","nan"
"[]","712","1","OthCurrLiab","-615202.99","0","615202.99","1","22/01/2025","-615202.99","F","598341","2848","nan","nan"
"[]","710","1","OthCurrLiab","-2796377.22","0","2796377.22","1","22/01/2025","-2796377.22","F","598341","2849","nan","nan"
"[]","119","1","NonPosting","1.450437318E7","0","nan","1","09/01/2025","1.450437318E7","F","597414","0","1.450437318E7","F"
"[]","954","1","Income","-11883960","0","11883960","1","10/01/2025","-11883960","F","597414","1","nan","nan"
"[]","nan","1","nan","nan","0","nan","1","09/01/2025","nan","F","597414","2","nan","nan"
"[]","792","1","OthCurrLiab","-2257952.4","0","2257952.4","1","09/01/2025","-2257952.4","F","597414","33","nan","nan"
"[]","712","1","OthCurrLiab","-65361.78","0","65361.78","1","09/01/2025","-65361.78","F","597414","34","nan","nan"
